decade,song,artist,appearances,avg_rank,peak,score,link
2000s,Before He Cheats,Carrie Underwood,64,28.921875,8,4613,https://www.youtube.com/watch?v=bM9M8f26s3Q&list=RDbM9M8f26s3Q&start_radio=1
2000s,Hanging By A Moment,Lifehouse,54,21.18518519,2,4310,https://www.youtube.com/watch?v=daOA0NBjgm0&list=RDdaOA0NBjgm0&start_radio=1
2000s,You And Me,Lifehouse,62,33.53225806,5,4183,https://www.youtube.com/watch?v=YnOF44auRIw&list=RDYnOF44auRIw&start_radio=1
2000s,Unwell,matchbox twenty,54,24.57407407,5,4127,https://www.youtube.com/watch?v=VfDwWEpuxfM&list=RDVfDwWEpuxfM&start_radio=1
2000s,Viva La Vida,Coldplay,51,21.03921569,1,4078,https://www.youtube.com/watch?v=nriT7mT48pw&list=RDnriT7mT48pw&start_radio=1
2000s,Love Story,Taylor Swift,49,18.48979592,4,4043,https://www.youtube.com/watch?v=dwV9beWnfOE&list=RDdwV9beWnfOE&start_radio=1
2000s,Kryptonite,3 Doors Down,53,26.47169811,3,3950,https://www.youtube.com/watch?v=NtBwVWWa3Ss&list=RDNtBwVWWa3Ss&start_radio=1
2000s,How You Remind Me,Nickelback,49,20.67346939,1,3936,https://www.youtube.com/watch?v=hhSLkkLl750&list=RDhhSLkkLl750&start_radio=1
2000s,Drops Of Jupiter (Tell Me),Train,53,26.81132075,5,3932,https://www.youtube.com/watch?v=CtRYKfDcBDo&list=RDCtRYKfDcBDo&start_radio=1
2000s,Big Girls Don't Cry,Fergie,48,19.125,1,3930,https://www.youtube.com/watch?v=48qUULYdyq0&list=RD48qUULYdyq0&start_radio=1
2000s,Here Without You,3 Doors Down,51,24.07843137,5,3923,https://www.youtube.com/watch?v=NxBl_q_NDas&list=RDNxBl_q_NDas&start_radio=1
2000s,The Way You Love Me,Faith Hill,56,31.94642857,6,3867,https://www.youtube.com/watch?v=jtEFOb3GYIk&list=RDjtEFOb3GYIk&start_radio=1
2000s,Yeah!,Usher Featuring Lil Jon & Ludacris,45,16.17777778,1,3817,https://www.youtube.com/watch?v=b0Ow9PBxZCA&list=RDb0Ow9PBxZCA&start_radio=1
2000s,Apologize,Timbaland Featuring OneRepublic,47,21.40425532,2,3741,https://www.youtube.com/watch?v=F0Af9MZzrLc&list=RDF0Af9MZzrLc&start_radio=1
2000s,Breathe,Faith Hill,45,18.28888889,2,3722,https://www.youtube.com/watch?v=_RNx25y2jBU&list=RD_RNx25y2jBU&start_radio=1
2000s,How To Save A Life,The Fray,58,37.18965517,3,3701,https://www.youtube.com/watch?v=lXcX5llJeko&list=RDlXcX5llJeko&start_radio=1
2000s,Since U Been Gone,Kelly Clarkson,46,20.54347826,2,3701,https://www.youtube.com/watch?v=cfmRtPQu8Qk&list=RDcfmRtPQu8Qk&start_radio=1
2000s,Breakaway,Kelly Clarkson,46,23.36956522,6,3571,https://www.youtube.com/watch?v=cbX8s4qcbnA&list=RDcbX8s4qcbnA&start_radio=1
2000s,Just Dance,Lady Gaga Featuring Colby O'Donis,49,28.20408163,1,3567,https://www.youtube.com/watch?v=5q7byFPTehs&list=RD5q7byFPTehs&start_radio=1
2010s,Radioactive,Imagine Dragons,87,32.81609195,3,5932,https://www.youtube.com/watch?v=CAEUnn0HNLM&list=RDCAEUnn0HNLM&start_radio=1
2010s,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,68,22.30882353,1,5351,https://www.youtube.com/watch?v=zIh5AHxh-Ok&list=RDzIh5AHxh-Ok&start_radio=1
2010s,Shape Of You,Ed Sheeran,58,11.31034483,1,5202,https://www.youtube.com/watch?v=nQrwTHTfhto&list=RDnQrwTHTfhto&start_radio=1
2010s,Counting Stars,OneRepublic,68,26.30882353,2,5079,https://www.youtube.com/watch?v=4WgWGcED0JQ&list=RD4WgWGcED0JQ&start_radio=1
2010s,Uptown Funk!,Mark Ronson Featuring Bruno Mars,56,12.375,1,4963,https://www.youtube.com/watch?v=7Ya2U8XN_Zw&list=RD7Ya2U8XN_Zw&start_radio=1
2010s,Rolling In The Deep,Adele,65,24.72307692,1,4958,https://www.youtube.com/watch?v=bDtjO-R0QSo&list=RDbDtjO-R0QSo&start_radio=1
2010s,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,53,9.301886792,1,4860,https://www.youtube.com/watch?v=2xRfeHRVF1I&list=RD2xRfeHRVF1I&start_radio=1
2010s,Perfect,Ed Sheeran,56,16.75,1,4718,https://www.youtube.com/watch?v=CWG-GDfejmY&list=RDCWG-GDfejmY&start_radio=1
2010s,Somebody That I Used To Know,Gotye Featuring Kimbra,59,21.74576271,1,4676,https://www.youtube.com/watch?v=2FZZK8gBBOI&list=RD2FZZK8gBBOI&start_radio=1
2010s,Girls Like You,Maroon 5 Featuring Cardi B,52,11.71153846,1,4643,https://www.youtube.com/watch?v=7mk1f7qQu_U&list=RD7mk1f7qQu_U&start_radio=1
2010s,Without Me,Halsey,52,12.25,1,4615,https://www.youtube.com/watch?v=aYr4fDuLhXg&list=RDaYr4fDuLhXg&start_radio=1
2010s,Dark Horse,Katy Perry Featuring Juicy J,57,20.07017544,1,4613,https://www.youtube.com/watch?v=ONb4aTtG6Ps&list=RDONb4aTtG6Ps&start_radio=1
2010s,Closer,The Chainsmokers Featuring Halsey,52,12.90384615,1,4581,https://www.youtube.com/watch?v=5XggbNWy3NA&list=RD5XggbNWy3NA&start_radio=1
2010s,Happier,Marshmello & Bastille,52,15.05769231,2,4469,https://www.youtube.com/watch?v=Wn91XJfBlfs&list=RDWn91XJfBlfs&start_radio=1
2010s,Thinking Out Loud,Ed Sheeran,58,24.74137931,2,4423,https://www.youtube.com/watch?v=WpyfrixXBqU&list=RDWpyfrixXBqU&start_radio=1
2010s,Sicko Mode,Travis Scott,52,16.21153846,1,4409,https://www.youtube.com/watch?v=d-JBBNg8YKs&list=RDd-JBBNg8YKs&start_radio=1
2010s,Better Now,Post Malone,52,17.03846154,3,4366,https://www.youtube.com/watch?v=Oggrsg4jZPM&list=RDOggrsg4jZPM&start_radio=1
2010s,Ho Hey,The Lumineers,62,30.9516129,3,4343,https://www.youtube.com/watch?v=qQz-4vdVJLM&list=RDqQz-4vdVJLM&start_radio=1
2010s,Trap Queen,Fetty Wap,52,17.94230769,2,4319,https://www.youtube.com/watch?v=mO3kyMnuf6c&list=RDmO3kyMnuf6c&start_radio=1
2010s,All Of Me,John Legend,59,28.37288136,1,4285,https://www.youtube.com/watch?v=4zXUHvfoEyQ&list=RD4zXUHvfoEyQ&start_radio=1
